 	Mean1	Mean2	Mean3	Mean4	Mean5	Mean6	Mean7	Mean8	Mean9	Mean10	Mean11	Mean12
1136	882.295	927.549	1079.425	833.222	1294.759	634.951	861.719	1116.933	1251.825	578.667	649.000	1210.892
1137	875.773	903.980	1106.525	824.741	1173.611	636.902	855.562	1103.833	1243.375	521.852	642.349	1164.000
1138	841.023	899.137	1074.275	807.889	1091.333	635.390	857.219	1054.367	1201.450	502.667	624.721	1135.189
1139	1021.295	974.725	1172.350	918.278	1098.315	709.098	923.031	1425.233	1396.250	568.518	686.744	1255.297
1140	1355.795	1017.510	1221.150	957.907	1054.370	775.073	921.688	1751.683	1444.950	675.222	757.721	1422.622
1141	1270.932	948.922	1221.075	942.982	980.352	747.951	887.594	1742.967	1352.050	702.704	759.256	1428.730
1142	1221.023	925.471	1179.400	914.130	903.074	743.244	838.812	1700.217	1256.200	751.889	718.605	1322.378
1143	1255.205	933.275	1179.775	922.574	869.982	736.781	856.281	1872.600	1266.625	840.074	770.326	1356.838
1144	1272.409	909.216	1190.700	925.611	857.556	746.659	861.719	1955.133	1258.225	1038.926	875.814	1373.108
1145	1438.182	990.451	1200.175	1133.481	934.593	825.244	1077.781	2068.017	1422.375	1381.222	1173.860	1510.054
1146	1594.705	1041.157	1311.300	1279.093	936.000	904.781	1183.812	2057.217	1516.125	1710.074	1441.860	1580.459
1147	1683.750	1049.529	1380.425	1270.556	925.889	940.415	1181.438	2012.800	1471.075	1774.926	1515.186	1603.676
1148	1581.773	1015.157	1400.125	1223.944	907.315	923.634	1098.500	1955.750	1449.050	2029.741	1551.372	1594.108
1149	1516.682	941.412	1302.325	1129.463	805.426	869.805	1050.125	1787.300	1339.525	1865.926	1490.163	1495.784
1150	1367.000	898.627	1250.700	1049.426	762.111	828.854	952.062	1699.700	1243.600	1611.296	1438.884	1398.216
1151	1214.932	870.176	1176.275	981.222	716.333	802.756	912.219	1647.533	1178.075	1467.074	1291.674	1307.838
1152	1121.295	850.608	1162.525	956.130	718.982	758.415	878.156	1617.900	1158.250	1356.185	1246.186	1288.189
1153	1049.205	875.078	1170.500	955.333	734.611	738.781	874.844	1611.650	1214.875	1491.333	1209.186	1310.162
1154	1092.523	952.510	1209.750	980.018	1615.037	790.488	922.344	1681.300	1674.825	1646.074	1297.860	1430.081
1155	1207.591	961.961	1179.950	975.204	2647.444	784.707	974.656	1626.900	1752.250	1492.926	1196.930	1472.568
1156	1267.727	892.275	1145.325	909.426	2824.944	763.756	940.875	1474.500	1579.825	1260.889	1046.744	1378.892
1157	1179.591	869.157	1113.200	847.648	2648.278	691.610	874.562	1366.417	1408.725	1123.185	937.535	1269.243
1158	1098.000	810.863	1044.150	811.741	2549.574	632.683	852.812	1366.750	1309.625	1013.963	860.163	1197.676
1159	1100.159	829.039	1056.275	749.870	2347.667	609.781	720.469	1452.217	1308.875	897.000	738.209	1270.919
1160	1089.273	831.314	1025.475	807.130	2819.648	643.854	942.344	1326.683	1313.375	785.741	830.233	1148.351
1161	1046.455	848.157	1085.350	811.278	3063.870	650.244	936.375	1299.000	1375.050	750.852	824.000	1153.162
1162	976.886	880.529	1058.100	794.222	2932.778	633.805	887.875	1342.117	1397.950	742.630	794.442	1131.919
1163	951.682	906.882	1048.000	830.482	2911.148	677.829	1036.375	1383.700	1406.225	754.222	803.209	1159.568
1164	957.068	935.647	1088.875	919.759	2785.074	727.463	1129.219	1422.033	1471.900	757.074	865.953	1212.676
1165	953.295	980.294	1229.825	978.185	2925.000	727.244	1202.781	1375.467	1490.700	708.259	865.000	1215.811
1166	911.636	946.392	1308.525	904.667	2630.222	724.268	1041.969	1347.183	1388.650	673.593	788.860	1185.568
1167	860.955	917.647	1358.700	857.704	2464.352	662.171	985.031	1296.017	1363.150	619.259	755.140	1174.757
1168	859.795	870.549	1280.400	768.482	2019.537	658.122	882.938	1271.267	1231.100	588.518	712.023	1199.054
1169	1055.977	1023.353	1449.175	822.426	1949.648	748.195	929.438	1883.883	1621.425	637.593	864.860	1335.838
1170	1323.364	1139.804	1651.875	949.685	1930.630	890.902	964.531	3027.183	1953.200	732.926	1135.605	1571.730
1171	1271.818	1098.255	1579.025	920.222	1685.944	840.732	928.094	3071.667	1760.700	710.556	1141.884	1502.243
1172	1207.886	1002.941	1490.500	874.056	1475.056	774.902	874.000	2857.750	1493.600	660.889	1079.605	1394.486
1173	1125.477	981.765	1400.850	813.926	1285.426	728.219	808.188	2633.983	1302.700	625.518	961.349	1299.649
1174	1068.318	921.118	1287.750	791.296	1176.741	709.024	784.594	2497.000	1184.200	653.556	895.512	1231.865
1175	1002.614	982.373	1220.700	793.167	1064.815	657.732	747.219	2379.900	1148.025	890.593	866.163	1221.919
1176	1004.455	1002.216	1209.575	813.426	1050.741	670.219	771.312	2284.633	1147.775	1052.926	974.209	1224.514
1177	1258.477	1095.039	1629.975	856.185	1052.074	739.634	791.844	2353.217	1214.925	1642.556	1388.163	1401.486
1178	1225.023	1042.823	1602.475	852.315	1027.444	757.951	742.219	2320.867	1179.225	1522.296	1487.395	1335.973
1179	1232.045	1029.706	1737.375	879.111	961.278	740.854	719.250	2245.067	1154.775	1644.963	1472.209	1315.973
1180	1125.795	988.706	1719.625	843.093	895.482	754.171	695.406	2230.233	1108.175	1514.407	1463.512	1309.757
1181	1241.091	1031.588	1811.300	857.518	878.722	745.171	688.094	2082.250	1062.450	1406.704	1446.698	1259.378
1182	1227.136	1057.412	1713.400	867.944	841.500	738.488	690.344	2002.567	1050.250	1287.630	1358.186	1210.757
1183	1389.909	1182.961	1708.150	852.926	852.315	752.146	677.188	1917.567	1045.550	1218.296	1261.791	1190.541
1184	1364.773	1208.588	1615.200	837.037	1134.852	763.902	654.438	1834.583	1189.550	1093.259	1217.907	1238.595
1185	1415.136	1293.137	1487.975	824.722	2226.481	917.415	639.906	1816.683	1507.750	968.222	1163.302	1332.189
1186	1264.341	1198.275	1349.700	785.926	2155.537	847.854	634.406	1666.867	1398.850	854.333	1044.744	1204.703
1187	1118.250	1075.373	1250.850	723.667	2042.481	773.122	601.781	1563.983	1260.225	786.889	970.000	1113.297
1188	1030.591	1027.961	1183.450	695.426	1884.852	719.098	580.969	1506.967	1182.175	696.667	882.674	1071.351
1189	1082.818	1006.137	1158.150	701.018	1696.889	725.805	603.969	1454.150	1134.950	639.296	859.698	1113.027
1190	1014.977	964.686	1119.000	698.889	1522.407	695.878	604.594	1391.683	1107.050	579.556	788.070	1127.946
1191	940.455	950.667	1088.975	694.667	1386.574	671.488	580.031	1362.650	1092.550	553.815	770.093	1099.838
1192	898.659	905.569	1055.200	683.037	1294.963	627.146	583.688	1291.550	1078.550	518.185	728.093	1072.568
1193	859.250	888.490	1057.675	666.648	1167.722	635.683	635.812	1256.933	1078.650	493.407	685.000	1052.189
1194	809.523	864.059	997.100	644.593	1078.574	611.024	655.719	1207.333	1078.075	479.074	665.279	1079.649
1195	832.409	877.843	1035.225	716.593	1032.944	602.707	675.875	1207.383	1131.575	472.667	669.093	1138.757
1196	847.386	853.961	1052.050	722.870	940.796	635.439	691.094	1200.883	1132.475	457.852	661.512	1160.946
1197	827.886	858.529	1196.875	738.018	876.185	603.171	685.625	1182.650	1088.000	467.741	644.000	1171.081
1198	805.841	823.216	1251.250	726.056	797.741	599.098	709.812	1114.650	1067.675	465.926	620.023	1131.000
1199	800.023	835.137	1275.925	719.611	828.259	610.390	693.625	1197.800	1079.175	480.852	635.395	1145.432
1200	885.909	998.608	1408.950	782.018	958.482	737.293	753.000	1973.383	1354.850	573.482	838.814	1250.216
1201	868.364	1082.137	1439.825	905.111	940.278	745.537	738.562	1993.150	1269.800	546.963	807.233	1216.378
1202	899.273	1185.373	1609.875	950.074	948.278	990.805	696.938	2012.717	1216.275	563.333	891.186	1238.892
1203	847.841	1178.706	1493.675	912.944	857.815	1005.463	676.562	1871.483	1113.650	531.333	847.279	1177.351
1204	814.500	1282.020	1403.975	1062.222	801.667	935.707	657.500	1793.617	1083.500	526.593	866.767	1177.189
1205	837.705	1366.863	1506.550	1092.426	817.093	948.659	669.188	1721.800	1098.950	543.778	904.488	1200.027
1206	898.386	1329.118	1547.475	1059.167	820.815	1068.610	667.875	1749.000	1116.225	593.148	1060.674	1182.135
1207	911.727	1337.569	1670.500	1092.963	793.889	1066.024	655.875	1697.967	1075.450	576.222	1025.140	1163.351
1208	947.886	1327.647	1718.050	1082.130	814.074	1140.707	655.562	1643.767	1079.275	631.333	1116.256	1154.757
1209	1015.545	1363.333	2042.425	1237.519	930.148	1359.512	738.344	1698.667	1148.675	652.630	1307.907	1219.595
1210	1063.864	1483.353	2337.200	1344.796	1004.537	1353.463	736.938	1767.933	1214.850	679.630	1737.163	1293.297
1211	1070.000	1576.118	2449.975	1479.722	1046.778	1550.829	794.156	1812.183	1256.000	712.444	1995.698	1289.676
1212	1041.545	1553.177	2393.500	1478.074	996.741	1466.732	761.656	1809.533	1208.750	719.444	1929.186	1281.973
